Prolific_ID,AQ
568d286ab5a2c2000cb6a91c,24.0
595727bd7c76640001aa8f6e,33.0
5a4636c92f91ec0001dcba07,32.0
5ad2c8334d061300011b1985,11.0
5adef850eb60400001539109,21.0
5aec7e89ae13140001fc0cdf,20.0
5b6c312fa1fda800015fe165,14.0
5bcc60b95c2b810001dc68e2,32.0
5c1c74700036a80001193c24,24.0
5c1edaeaafeeef00011588b3,18.0
5c3272172f0f3500010284c0,24.0
5cab944b41de360017e2c3db,20.0
5d55d562e04e1c0001f5e682,8.0
5dcb685070d51c8275d7bd54,14.0
5dee8ee31255595293a9906b,28.0
5ec75df0d799ae1c11a8115c,17.0
5eefc651cb94ad4c4d017b86,31.0
5f16f559325a640008bb9a07,13.0
5f32bc368853aa03df112fc6,31.0
5f985596be2ea910b23827ed,17.0
5f9873550513db147c9d2958,43.0
5fd18d125e1f92195b1717bc,23.0
5ff27bb4ad8fba794c1b96fa,19.0
6056bcf1cee7a41435889255,18.0
605b5b5feff0e95f2cd60834,14.0
608209b96e955ba5201eff25,42.0
60bff9298f56d55c8ecd9adf,13.0
60d2b326161a622cd363268a,30.0
60dbf4d94a3b5564b68881e8,33.0
60ea57c074a703877f04330b,9.0
60ef2700e476748689a999f7,16.0
60f4e3ab507bbb123f866e88,18.0
60fcebba7345a976efc9c080,18.0
60fd56db5fe37ebeca00bc83,17.0
60fd5a99c4e4ead0c9a6fff4,13.0
60fd80b85dd6b22f66d16822,26.0
60fd89617258b322c92fdd03,16.0
60fdb9ec6c3006abe82e5182,30.0
60fec21e36a05990cfa8a715,30.0
60ff33eea57872b7188f12e2,21.0
60ff830d7a7cce48e1787ba2,24.0
610024bfd6e1038ba3b1601d,26.0
6100652c5329da76a962cdb3,21.0
61006614d4c56450afce3a6b,10.0
61006f43a84b82fb439d7cba,18.0
610247cdbc9b348fd6601cb3,24.0
610367ad785ce86ceb8d201c,10.0
6107f902de5549cbdf72cbe1,14.0
61084dbab48ab21fce452554,26.0
6112c911a83cc494df38b468,20.0
6112dccad39227e361c13866,21.0
6116f60ae8f48f7d1244e8d3,29.0
612e6569f68929afb886fb5c,34.0
61338374ecef87bfdfd1c7bb,27.0
6154a88b71a7f4347658b0f7,21.0
615a084387075364a7462335,38.0
62a1ed3d1357f3e033ae44f9,17.0
62a885d5b6af18b3d4579e1b,14.0
62fb84322433c8d7e890a145,26.0
630386f64c5bbd56ab1c3b0f,32.0
631f3abc8826b6e7e8982648,20.0
63235c5bf70d8e4f79b205cd,21.0
6346da55c3bf67b0dbf06272,13.0
63ced670c8d001d1d5057140,13.0
63d13e2a6dd3ec4a5f6bff7b,20.0
63d3f98237a95683bfa381e3,25.0
63d3f9d0ab6c170778b0d3d1,26.0
63d4019999c9ab839156014c,15.0
63d40481d12fc9cc4c1adab0,28.0
63d5bb0d1cc3800ad1e343dc,37.0
63d5e3bf4a739d1158b9ce64,23.0
63d7c5cbacd85e95302f3a62,32.0
63d7ec164d40c184be89bf34,37.0
63d7f2b15b4a5938642f3a7b,37.0
63ddc6baab6a2130b8a41bf7,20.0
63e51e528df11f83a1aacab8,29.0
63e52399159a69bf0ea848c6,23.0
63ea4ab1ce4168cbe9f63775,19.0
63eac31811a6da58d4f32d76,16.0
63fac97f0d4e8f6bfd753d90,30.0
6400d8ca785ee04d9b02ae9c,19.0
64023a98627b1116180dff0b,30.0
641361334c91a0c6ff4c5b79,10.0
641a3df3c874807a1a8734bc,20.0
